tweet,ES,EI,EP,data_type
Snowbel28 Cutting someone off that s been apart of you for months years might hurt but it s the only way to let yourself grow PSBB akan diperpanjang jadi PSBBBBBBBBBBBBBB Pembatasan Sosial Berskala Besar Belum Berakhir Bisa Bisa Bulan Berukutnya Bahk I present to you Agust D deadliest rapper of our generation Quarantine got me even tired of being on my phone Agust D That s it That s the tweet The wait is finally over because Agust D is,4,3,3,val
back with a fresh mixtape D2 Which track is your fav t co hbnxM jungkook imitating everything in the cutest way ever a short compilation pernah ga sih pgn nangis krn tinggal di indonesia Best Friend isn t necessarily someone u chat to everyday It s someone u love unconditionally regardless of any time apart if you ever wanted to know what goes on in my head this is it i can go on twitter and not text back this,4,3,3,train
is my phone AAAAAAAAAAA me with me with my friends myself FIX AKU YA GRGR AKU BACOT WKWKWK maafinnnn Hai aku Mahasiswi Psikologi Binus University dan sedang melakukan penelitian tentang emosi dan kesehatan mental Bagi tem MAKASIH BANYAAK ENAAA halo temen2 aku minta bantuannya yaa untuk isi survei penelitian untuk skripsi aku hehe makasih banyak sebelumnya may God return your kindness Closefriend is a private second acc is more private Closefriend in second acc is a damn lot private bij,4,3,3,train
Yaampun gajadi clown absolutely obsessed with this massive wave illusion artwork in korea Camp rock really did this and we just let them Me carrying my degree knowledge into working life this keeps happening Pizza in the making imagine having 50 friends Me taking back my love that wasn t appreciated how to continue living if you hate yourself and your life Ampun deh I have the same obsession with sekala rafathar s 3 am thought this is what overthinking,4,3,3,train
and being trapped in your mind feels like Untung lg makan kacang Aku blasteran overthinking dan insecurity Sama HAHAHAHA HAH SALAH ACCOUNT HAHAHA maaf people say we are really luck and i agree especially I am i won t find people like our members elsewhere they have nev namjoon being the best nations leader a thread STOP NORMALIZING THIS Y all kill me with this bs Cheating is not apart of ANYTHING If a man really I thought they were,4,3,3,train
costumes of Beauty and the Beast but Overthinking bener2 kata2 yg selama ini ditunggu2 tbtb diucapin di mimpi hu huhu mimpinya bener2 menusuk sampai ke hati andai bnrn ya Quality of friends gt quantity of friends Bentukannya ky roti tawar you can achieve anything you have a tiger in you meanwhile the tiger in me ADA APA DENGAN KARDASHIANS ADA DI MIMPI KITA me in childhood without any reason This is what every single day of 2020 has felt like,4,3,3,val
Shoutout to all my friends who don t get mad at me for replying their texts 20 hours later even when I am constantly posti SUGA Crying myself to sleep for the 1979874222680x times fml Our generation leaders Dulu pas nyokap ga ada gua langsung keluar dari kamar duka dan berdiri dijalanan Gua ngeliat kok dunia ya sans aja mobi pain so much pain RIP to the opportunities we missed because of shyness amp low self esteem I m sure,4,3,3,train
we all once have this kind of feelings Reply 1988 Deleting pictures is so difficult for me I can t even let go of a random screenshot HE PROVED IT GUYS omg how do u not compare urself to every other girl alive THIS IS CRAZY ILY Hadah hadah hadah hadah hadah hadah this one s dedicated to the BTS Army congrats on your KCA2020 win AAAAAA kangen smua makanannya Saying ohhhhhhhhh when you still don t understand gt gt,4,3,3,train
gt gt Retweet geby Sempurnaaaa fix Bingung bgt buka twitter lama instagram apalagi netflix lebih2 Terus aku tuh disuruh ngapain sih quarantine nya sm Indihome Bertapa you ever be like it is what it is but deep inside your heart wishes shit would be different omona when u see something funny but you re supposed to be offline in a relationship with constant tiredness im so pissed huhu coba itu otaknya keluarin dr kulkas trs dipake ditempat yg bener pernah,4,3,3,val
ga sih ngerasa kek im not good for anyone tp udh try ur best it damn hurt hehe manusia2 62 banyak yg suka memalukan ya When I randomly remember one of my shirts that I haven t seen in a while sabar2 bulan puasa wow the amount of h8 i have towards u is growing day by day BTS as Disney Channel theme songs Ulangtahun ku Aku abis masak telor dadar Sad truth Yesterday an elderly woman in my block,4,3,3,train
taped the first note to the lobby door so my neighbours and I dropped off some boo I ve been laughing at this meme for maybe 6 months now If you don t click these bad boys a couple times before you use them I can t trust you Capek banget gue sama Onad Vincent amp Desta Show reminder I don t have trust issues I have I ve seen this before and I know how it ends issues YONK,4,3,3,train
SAMA BGT MALEM SBLM PUASA AKU COBA NONTON DI 17 DETIK AWAL UDH NGEHUJAT maafin Don t rush Cat groomers version More like 1000 tabs open Gaada lg yg lebih relate dr ini Penyanyi yg gak pake waze NYASAR sawityowit Hai itum,4,3,3,val
andihiyat Kalo ada sodara yang keliatan sukses pasti lebih dihargai sama sodara sodara yang lain Emg bener kalo lg kesel tuh jan suka sembarangan ngetik Pen nangis yaallah Yaa memang meninggalkan dan tinggalkan itu tak akan pernah mudah kok bisa ya orang2 akrab sama keluarganya bisa foto bareng bikin video bareng seru2an bareng Untuk meminta pengertian pun aku sudah tak pantas karena terlalu banyak menyia2kan pengertianmu Terlalu banyak salahku hingga akupun tak memaafkan kesalahanku Bagaimana aku mencintai seseorang yg sudah,2,3,0,train
