id,tweet,ES
0,emosi dan nyita energi baik gw aplikasi berita gw apus twi Asistensi jg brouu Jgn lupa nanti asistensi MitosKonsultasi sering denger gini ga si Ngapain ke psikolog psikiater Emangnya kamu gila note gila itu istilah ya NYOHH Moro omah rasah kesuwenn Sebel aku wkwk Acc saiki cepatt Pie to le wkwk bar bakdo lo iseh praktikum Wawancara kerjaa urungg kowe wes ambil obi Guide obi Revisine akeh bgt jilakk meh bakdo lo ya other siblings vs me and my siblings,1
1,hi a lil reminder that if y all are sad or having a bad days im always here you can talk to me love your existence is very important and you are loved but if you dont think it isnt I LOVE YOU okay so please be healthy and take care wherever you are lem maksudnya gmn yol kirain kesayangan km itu akk ada benernya juga sama chaa tp keknya s4nya seru di trailer wkwkkw Grandma noooo waduh kurang tau,1
2,b Kadang di situ merasa zebal Tapi mau bagaimana Apa yang dilakukan orang lain adalah di luar kendali kita Ya sudah ambil maknanya Nikmati kemajemukan orang di dunia ini Hahaha Apakah tdk dipahami Bagi sebagian orang kirim chat atau merespon chat itu tdk semudah itu yg dikirim bukan sekadar chat tapi chat yg sungguh sungguh benar benar dipikirkan dan disusun sedemikian rupa biar tersampaikan dgn baik Tapi apa yg justru terjadi dan diperoleh Termasuk tipe orang yang selalu membalas setiap,2
3,sb peka aja ya ga bisa tag orgnya soalnya aku agnostik monmaap hmmm yawlo rasanya tiap hari pen nangis indihome gini amat kek samsara aja 15 menit untuk masa depanmu ga ada salahnya kan nani tf Anjing last pic di kamar mandi gereja sebelum negara api menyerang Suara alm ibuku Theresa Zen yg mempopulerkan lagu Sabda Alam cipt Ismail Marzuki Betapa sy merindunya Tuhan tolong titip p nama seperti malaikat kelakuan seperti dajjal ada beda humor no kemistri The asteroid,2
4,for her acting vibrator PERIODT nothing can harm youuu not while i m around i want christina applegate to say no to me christina and jen will win that emmy JENNIFER ANISTON WILL WIN THAT EMMY NO MEANS MOTHERF KING NO middle aged actresses basically owns me I BROKE MY FCKING VAGINA she deserves emmy when jennifer aniston gets that emmy nomination i don t wanna see anyone asking any questions a DECADE instantly added to my lifespan middle aged,2
5,ke yg bukan bidan jatuhnya bukan suka malah ilfeel Gaga lah jelas Kaget bukan karena uwu uwunya kaget karena itu skinnyfabs Akuuuu Lolololo dosennya nambah lagi Angel dibaca enjel Pgn kaya raya biar kalau matiin lampu cuma sekali tepuk tangan kyk di rumah Se ri di drama cloy Donee Give Away Somebymi Snail Truecica sisa segitu yaaa kira kira 87 Caranya cukup Follow Rt Rep ap aj trsrh kmu a end bismillah MUTUALKU AKU TAU KALIAN SEMUA BAIK HATII DAN,2
6,jangan Mol buka ya jangan belanja Tiket pesawat dijual ya nda usa beli Kalo emang harus wajib kudu ya Parcel 50k Hampers 500k That marketing trick is Tiap liat challenge gambar di twitter this is why i always being a pro choice pls do take your time for a while to read this yah telat ya padahal pengen ngisi wkwk kalo sendernya liat aku nonton yang kedua sm ketiga hehe my heart YOU RE GONNA GRADUATE GET THAT DEGREE AND,3
7,Anda dan menteri2 Anda tak peduli nyawa para petugas medis kok Tidak tampak upaya untuk menangani wabah dengan serius S yang satu bikin kebijakan berubah ubah dan tidak tegas trus yg satu keras kepala dan egois udah perfect couple bgt makin makin pd na org pamer aibna di sosmed tohhhhh nda bisaaa saya nntn bginian hahahah lebih penting baju baru drpd kesehatan udahlah kenapa yak sy lahir di negeri ini apakah ini aq deh tumbu sai dadanya kau kau semua,4
8,m angry and give more patient in my life Nabi mengajarkan kelembutan Kita malah senang keributan Nabi bilang jangan marah Kita malah cari dalil utk membenarkan kem UDAH TAU BELUM Bahwa ikan yg ribuan tahun lalu menelan Nabi Yunus As itu ternyata masih hidup sampai sekarang bahkan samp Apasi ah kebanyakan nyemilin serbuk taro mohon maaf sebelumnya saya mendengar kabar semakin banyak nya korban saya mau klarifikasi disini mengenai kabar bahwa teme Canda zeyeng Abis ini ada mas payit reply,2
9,yu eh pim yu oleh para sepupu dan sudah pasti aku mengiyakan white kfc wtf lebaran paling aneh gw udh tidur 2 kali hari ini aing punya tp gadipake kasian bgt cewenya dikutuk jd lele gw sadar sokka ternyata sadboi minal aidin walafiat minal aidzin dari kami sekeluarga asli mauuu enak bgt itu dulu nenek w suka bikin 4 tahun kalian ngadopsi gw baru kali ini gw lebaran ama kalian bobob hohoho tentu tidak kalian semua aku maafkan kecuali yang,4
10,know that u have a right to tell your opinion It s better to speak up the truth from your point of view than nothing at all Your voice matters Keep it up It s true Ngadepin murid oke2 aja ngadepin ortunya bikin sakit jiwa Foto u gendong kelinci Itu pas jaman sd bgt pulang sekola masi ada fotonya di hp sony Hahahah,2
11,Post the songs 4 Let people judge you Random banget wkwkwk Kayaknya dia jg mikir gtu deh paw hahaha Efek udh lama psbb kayaknya Ga ya Udh ga expect dia minta maaf ne Yg penring di take down hahaha Lagi beli thai tea mba mba sebelah pesenannya udah jadi terus dia bilang aaa so cute Padahal thai tea doang cute dari mana nya TimBaksoUrat Videonya sudah di takedown hihi Ngeselin emg Gue jg mikir gituuuu Sempet mikir konsepnya kek siraman,1
12,nduwe jew btw mohon maaf lahir dan batin ya Terimakasih masih mau berteman sejak 11 tahun lalu meski aku tidak jadi menjadi warga kampus ungu Love love pokoknya Mohon maaf juga ya Ver btw izin save gambar ya Admin jangan dicancel dulu ya ini dapat driver baru Aamiin Mau donk tolong cek dm ya terimakasih Jahatnya manusia Dikirimin santet tau rasa tu netizen jahat Rayakan hari kemenangan DiRumahAja dengan tetap menyambung silaturahmi bersama keluarga besar di kampung halaman denga Mereka,1
